City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,salekhard,66.53,66.6019,-26.4,100,100,0.66,RU,1672365642
328,honiton,50.7996,-3.189,10.05,85,20,9.77,GB,1672365644
329,bilibino,68.0546,166.4372,-35.95,99,48,1.21,RU,1672365644
330,yangjiang,21.85,111.9667,14.41,55,36,4.33,CN,1672365645
331,marsh harbour,26.5412,-77.0636,23.32,84,98,7.85,BS,1672365646
332,ponta delgada,37.7333,-25.6667,17.4,88,75,8.75,PT,1672365648
333,botngard,63.7653,9.8111,5.43,87,75,6.69,NO,1672365648
334,haines junction,60.7522,-137.5108,-16.19,100,100,0.14,CA,1672365649
335,trinidad,-14.8333,-64.9,22.38,95,100,1.18,BO,1672365650
336,ust-tsilma,65.441,52.1498,-24.92,99,99,1.79,RU,1672365651
337,west bay,19.3667,-81.4167,25.6,85,5,0.89,KY,1672365651
338,constantine,36.365,6.6147,1.67,86,0,1.03,DZ,1672365652
339,dingtao,35.0683,115.5625,2.45,23,53,1.95,CN,1672365653
340,flagstaff,35.1981,-111.6513,1.44,94,100,4.12,US,1672365604
341,college,64.8569,-147.8028,-21.41,84,39,1.35,US,1672365654
342,katobu,-4.9408,122.5276,28.58,68,100,3.54,ID,1672365655
343,anloga,5.7947,0.8973,26.07,79,86,1.76,GH,1672365656
344,cantapoy,9.4906,125.4364,27.45,73,100,0.38,PH,1672365657
345,ampanihy,-24.7,44.75,23.68,73,14,1.65,MG,1672365657
346,victor harbor,-35.5667,138.6167,25.38,68,0,0.45,AU,1672365658
347,asau,46.4333,26.4,-3.49,79,81,3.0,RO,1672365581
348,bumbuna,9.05,-11.7333,21.75,76,23,0.31,SL,1672365659
349,havre-saint-pierre,50.2334,-63.5986,-8.13,76,100,1.03,CA,1672365660
350,vaitape,-16.5167,-151.75,27.51,72,26,5.98,PF,1672365661
351,ahipara,-35.1667,173.1667,22.91,63,0,4.66,NZ,1672365662
352,raahe,64.6833,24.4833,-1.95,90,100,10.7,FI,1672365663
353,saldanha,-33.0117,17.9442,15.36,64,58,5.98,ZA,1672365663
354,deputatskiy,69.3,139.9,-38.85,98,73,2.13,RU,1672365664
355,zeya,53.75,127.2667,-19.55,96,100,1.35,RU,1672365665
356,basco,20.4487,121.9702,23.45,76,95,10.65,PH,1672365666
357,macau,22.2006,113.5461,12.89,71,12,10.29,MO,1672365667
358,galesong,-5.3166,119.3661,25.01,74,100,5.39,ID,1672365668
359,gamba,-2.65,10.0,24.85,90,61,1.62,GA,1672365668
360,komsomolskiy,40.4272,71.7189,0.4,86,75,1.03,UZ,1672365669
361,henties bay,-22.116,14.2845,16.38,88,64,1.81,NA,1672365670
362,sepuka,-4.75,34.5333,15.96,88,99,1.45,TZ,1672365671
363,shimoda,34.6667,138.95,10.06,75,69,1.67,JP,1672365672
364,kokopo,-4.352,152.2633,29.31,68,81,5.51,PG,1672365673
365,isoka,-10.1606,32.6335,16.19,99,100,0.67,ZM,1672365674
366,along,28.1667,94.7667,11.61,56,6,0.57,IN,1672365497
367,oranjestad,12.524,-70.027,26.06,85,4,2.68,AW,1672365647
368,kichera,55.9375,110.0997,-17.13,84,100,1.63,RU,1672365675
369,paka,4.6374,103.4368,26.32,76,100,5.22,MY,1672365676
370,fortuna,40.5982,-124.1573,11.07,92,100,10.8,US,1672365561
371,kieta,-6.2167,155.6333,29.9,57,63,4.15,PG,1672365677
372,trat,12.5,102.5,27.12,64,100,3.93,TH,1672365678
373,buala,-8.145,159.5921,28.58,73,100,3.06,SB,1672365679
374,kauran,6.7856,124.4733,28.83,75,100,2.0,PH,1672365680
